name,commits,commit_frequency,start_date,end_date
moneybank,4.0,2.0,2023-02-14,2023-02-14
foundryvtt,2.0,2.0,2023-02-14,2023-02-14
Past_Projects,6.0,6.0,2023-02-14,2023-02-14
Gr3963-Python,1.0,1.0,2023-02-14,2023-02-14
one-click-hugo-cms,716.0,0.2973421926910299,2016-07-03,2023-02-06
Comparing_Pandas_Polars_PySpark,1.0,1.0,2023-02-14,2023-02-14
Daily-Planner,3.0,3.0,2023-02-14,2023-02-14
Daniel-site,1.0,1.0,2023-01-21,2023-01-21
simple_javascript_app,1.0,1.0,2023-02-14,2023-02-14
dag-svelte-saas,1.0,1.0,2023-02-14,2023-02-14
dotnet,7.0,7.0,2023-02-14,2023-02-14
AED,1.0,1.0,2023-02-14,2023-02-14
ionic-project-main,1.0,1.0,2023-02-14,2023-02-14
DesignPat_FacadeDaos_Template,1.0,1.0,2023-02-14,2023-02-14
alura-curso-de-git,5.0,5.0,2023-02-14,2023-02-14
dojo_Survey,2.0,2.0,2023-02-14,2023-02-14
CombineNetworkingAlamofire,7.0,7.0,2023-02-14,2023-02-14
MySQL_Lesson1,2.0,2.0,2023-02-14,2023-02-14
ExplorationGraphique-Toto2-,3.0,3.0,2023-02-14,2023-02-14
term_proj,1.0,1.0,2023-02-14,2023-02-14
calculator,6.0,6.0,2023-02-14,2023-02-14
trying-trpc,1.0,1.0,2023-02-14,2023-02-14
ro-sintesi-di-tutti-i-passaggi,5.0,5.0,2023-02-14,2023-02-14
portal,1.0,1.0,2023-02-14,2023-02-14
web2apk,2.0,2.0,2023-02-14,2023-02-14
gridbot-server,2.0,2.0,2023-02-14,2023-02-14
streamlint,3.0,3.0,2023-02-14,2023-02-14
TournamentElevator,215.0,15.357142857142858,2023-01-26,2023-02-09
Hospital-Management-System,11.0,11.0,2023-02-14,2023-02-14
AGP-Testing,6.0,6.0,2023-02-14,2023-02-14
GCA,27.0,0.7714285714285715,2023-01-10,2023-02-14
museum,1.0,1.0,2023-02-14,2023-02-14
Administrar-Tienda,3.0,3.0,2023-02-14,2023-02-14
3-column-card,3.0,3.0,2023-02-14,2023-02-14
hello_world.py,1.0,1.0,2023-02-14,2023-02-14
cuadros,2.0,2.0,2023-02-14,2023-02-14
laravel,3.0,3.0,2022-09-01,2022-09-01
Matheus-M-Garcia,6.0,6.0,2023-02-14,2023-02-14
BASICO-DIO-JAVA,2.0,2.0,2023-02-13,2023-02-13
ckeditor5-audio-embed,4.0,4.0,2023-02-13,2023-02-13
ecom-microservices,1.0,1.0,2023-02-13,2023-02-13
empty-repo,1.0,1.0,2023-02-13,2023-02-13
Encuesta-de-salarios---Alejandra-Jerez,22.0,22.0,2023-02-13,2023-02-13
house-purchasing-wbsite,4.0,4.0,2023-02-13,2023-02-13
philippines-quiz,2.0,2.0,2023-02-13,2023-02-13
mgv-simulator,1.0,1.0,2023-02-13,2023-02-13
Team_project,4.0,4.0,2023-02-13,2023-02-13
EECS348_Lab3,3.0,3.0,2023-02-13,2023-02-13
CURD-Application,1.0,1.0,2023-02-13,2023-02-13
S9_Homework,2.0,2.0,2023-02-13,2023-02-13
testing,1.0,1.0,2023-02-13,2023-02-13
portifolio-aula,4.0,4.0,2023-02-13,2023-02-13
Thulun,2.0,2.0,2023-02-13,2023-02-13
Descriptive_statistic,3.0,3.0,2023-02-13,2023-02-13
irt-009-push,3.0,3.0,2023-02-13,2023-02-13
React-Redux-Toolkit,1.0,1.0,2023-02-13,2023-02-13
02132023,1.0,1.0,2023-02-13,2023-02-13
Alligetor,5.0,5.0,2023-02-13,2023-02-13
recruitment_test_caleta,1.0,1.0,2023-02-13,2023-02-13
Projeto-TecBlog,3.0,3.0,2023-02-13,2023-02-13
js-challenges,1.0,1.0,2023-02-13,2023-02-13
Cotton-Disease-Detection,1.0,1.0,2023-02-13,2023-02-13
AppMovies,1.0,1.0,2023-02-13,2023-02-13
valentynka-julca,9.0,0.75,2023-02-01,2023-02-13
Test,2.0,2.0,2023-02-13,2023-02-13
qr-code,6.0,6.0,2023-02-13,2023-02-13
IntoToGit,1.0,1.0,2023-02-13,2023-02-13
HTML-Introduccion,8.0,8.0,2023-02-13,2023-02-13
qr-card-component,1.0,1.0,2023-02-13,2023-02-13
laravel-mongodb-integration,1.0,1.0,2023-02-13,2023-02-13
Web-Scraping-Automated-Email,2.0,2.0,2023-02-13,2023-02-13
tiny-reef,6.0,0.031088082901554404,2022-08-04,2023-02-13
